"Car_brand","Car_model","Mileage","Year","Transmission","Location","Fuel","Engine_Size (cc)","Price (£)","Car Type"
"Ford","Kuga",16328,"2022","Automatic","Hampshire","Hybrid",2500,20505,NA
"Skoda","Karoq SE",18925,"2023","Automatic","Hertfordshire","Petrol",1500,21643,NA
"Vauxhall","Grandland X",17700,"2021","Manual","Nottinghamshire","Diesel",1500,14333,NA
"Skoda","Karoq ŠkodaEstate",1847,"2024","Automatic","Hertfordshire","Petrol",1500,24489,"Estate"
"Jaguar","E-Pace",51283,"2021","Automatic","Hertfordshire","Hybrid",1500,25890,NA
"BMW","iX3 M Sport Pro",32209,"2022","≈ 461 miles","Hampshire","Electric",0,30682,NA
"Mercedes","EQC400 Eqc AMG Line 4MATIC",48925,"2022","≈ 411 miles","Hampshire","Electric",0,24048,NA
"Kia","e-Niro 2",47136,"2022","≈ 463 miles","Leicestershire","Electric",0,14624,NA
"Kia","Sportage",21105,"2022","Automatic","Hampshire","Petrol",1600,27813,NA
"Peugeot","2008",17133,"2023","Automatic","Hertfordshire","Petrol",1200,19059,NA
"Kia","e-Niro 2",24265,"2022","≈ 463 miles","Durham","Electric",0,16368,NA
"Mercedes","EQC400 Eqc AMG Line 4MATIC",21878,"2022","≈ 411 miles","Hampshire","Electric",0,27563,NA
"Kia","e-Niro 2",19912,"2022","≈ 289 miles","Durham","Electric",0,15193,NA
"Kia","e-Niro 4+",20526,"2022","≈ 455 miles","Manchester","Electric",0,19587,NA
"Peugeot","508",35766,"2021","Automatic","London","Hybrid",1600,16174,NA
"Peugeot","3008",21101,"2022","Automatic","Essex","Petrol",1200,19370,NA
"Kia","e-Niro 2",29270,"2022","≈ 463 miles","Hampshire","Electric",0,15910,NA
"Peugeot","208",9203,"2023","Automatic","Nottinghamshire","Petrol",1200,16818,NA
"Peugeot","3008",28639,"2020","Automatic","Nottinghamshire","Petrol",1200,16740,NA
"Kia","e-Niro 4+",60913,"2021","≈ 463 miles","London","Electric",0,14988,NA
"Tesla","Model 3 (Dual Motor) Long Range 4WDE",57158,"2021","≈ 678 miles","Leicestershire","Electric",0,18078,NA
"Jaguar","I-Pace 400 HSE 4WD",36910,"2020","≈ 470 miles","Northamptonshire","Electric",0,20012,NA
"Citroën","C5 Aircross",51118,"2020","Automatic","Leicestershire","Diesel",1500,12962,NA
"Kia","e-Niro 2",56516,"2022","≈ 463 miles","Hampshire","Electric",0,13990,NA
"Peugeot","3008",23987,"2023","Automatic","Manchester","Petrol",1200,20694,NA
"Peugeot","308",15037,"2024","Automatic","West Midlands","Petrol",1200,18816,NA
"Tesla","Model 3 (Dual Motor) Long Range 4WDE",54531,"2021","≈ 580 miles","Staffordshire","Electric",0,18521,NA
"Audi","e-tron 55 Black Edition quattro Charger)",40561,"2022","≈ 441 miles","Hampshire","Electric",0,29416,NA
